Maintenance_ID,Route_ID,Maintenance_Date,Maintenance_Cost,Issue_Type
1,1043,2025-03-24,22325,Electrical Fault
2,1068,2025-01-18,9000,Signal Failure
3,1038,2025-04-05,28934,Signal Failure
4,1025,2025-02-02,13321,Engine Issue
5,1100,2025-02-04,8545,Engine Issue
6,1070,2025-01-01,24748,Signal Failure
7,1094,2025-02-06,14990,Track Maintenance
8,1063,2025-01-11,6601,Engine Issue
9,1081,2025-06-12,20304,Electrical Fault
10,1007,2025-02-20,20590,Brake Repair
11,1092,2025-02-04,8475,Signal Failure
12,1058,2025-01-25,14369,Electrical Fault
13,1061,2025-03-01,24802,Signal Failure
14,1098,2025-04-10,18881,Electrical Fault
15,1082,2025-05-24,15125,Track Maintenance
16,1008,2025-04-19,11084,Brake Repair
17,1094,2025-04-04,18162,Track Maintenance
18,1007,2025-06-08,19058,Signal Failure
19,1057,2025-05-28,11224,Engine Issue
20,1018,2025-06-17,22309,Engine Issue
21,1084,2025-06-19,27270,Electrical Fault
22,1049,2025-05-12,19638,Engine Issue
23,1019,2025-04-22,19577,Engine Issue
24,1039,2025-03-05,27704,Engine Issue
25,1049,2025-04-29,19609,Signal Failure
26,1091,2025-02-20,16896,Signal Failure
27,1010,2025-05-06,23344,Electrical Fault
28,1089,2025-01-06,11154,Track Maintenance
29,1037,2025-01-16,27832,Track Maintenance
30,1026,2025-05-07,20145,Brake Repair
31,1007,2025-04-02,12250,Track Maintenance
32,1011,2025-05-23,12070,Engine Issue
33,1044,2025-01-25,25142,Brake Repair
34,1026,2025-02-15,28639,Electrical Fault
35,1059,2025-03-09,7736,Engine Issue
36,1059,2025-01-08,14348,Electrical Fault
37,1037,2025-02-28,26938,Electrical Fault
38,1099,2025-03-05,26966,Track Maintenance
39,1034,2025-05-11,23014,Brake Repair
40,1003,2025-03-15,9759,Electrical Fault
41,1005,2025-05-14,8005,Brake Repair
42,1080,2025-01-18,13366,Brake Repair
43,1068,2025-04-12,17706,Brake Repair
44,1088,2025-06-05,8258,Track Maintenance
45,1093,2025-01-23,14284,Engine Issue
46,1053,2025-01-24,29224,Brake Repair
47,1019,2025-06-05,16353,Engine Issue
48,1079,2025-01-17,26722,Brake Repair
49,1032,2025-05-07,8474,Brake Repair
50,1024,2025-01-14,5458,Brake Repair
51,1100,2025-04-06,16417,Track Maintenance
52,1078,2025-06-03,7629,Brake Repair
53,1029,2025-05-14,21990,Track Maintenance
54,1043,2025-05-03,28096,Engine Issue
55,1078,2025-04-12,13867,Track Maintenance
56,1018,2025-03-22,29674,Track Maintenance
57,1025,2025-06-16,14641,Electrical Fault
58,1025,2025-05-12,13631,Signal Failure
59,1097,2025-06-12,15782,Electrical Fault
60,1054,2025-03-21,16028,Signal Failure
61,1006,2025-01-29,11606,Brake Repair
62,1066,2025-02-13,20817,Track Maintenance
63,1075,2025-04-17,22009,Brake Repair
64,1097,2025-03-27,24144,Electrical Fault
65,1006,2025-04-04,26336,Engine Issue
66,1050,2025-03-05,12628,Engine Issue
67,1011,2025-03-03,28550,Signal Failure
68,1060,2025-03-21,8086,Signal Failure
69,1005,2025-06-11,5606,Brake Repair
70,1005,2025-06-07,12976,Electrical Fault
71,1020,2025-06-29,17612,Engine Issue
72,1035,2025-06-26,10892,Signal Failure
73,1084,2025-03-27,16349,Engine Issue
74,1006,2025-01-30,20872,Brake Repair
75,1011,2025-04-13,16051,Brake Repair
76,1043,2025-02-22,11321,Engine Issue
77,1069,2025-03-06,6985,Brake Repair
78,1090,2025-06-10,27146,Signal Failure
79,1091,2025-04-05,22862,Brake Repair
80,1084,2025-02-10,11198,Track Maintenance
81,1031,2025-04-04,26075,Signal Failure
82,1055,2025-03-15,16754,Electrical Fault
83,1092,2025-02-12,13036,Brake Repair
84,1091,2025-06-22,23628,Brake Repair
85,1069,2025-01-06,28763,Brake Repair
86,1049,2025-02-27,12791,Track Maintenance
87,1078,2025-04-11,17862,Brake Repair
88,1047,2025-03-11,6993,Engine Issue
89,1061,2025-02-19,16039,Signal Failure
90,1036,2025-01-15,20282,Engine Issue
91,1036,2025-06-27,6289,Brake Repair
92,1022,2025-06-26,21133,Signal Failure
93,1006,2025-03-17,20362,Electrical Fault
94,1087,2025-02-20,13605,Engine Issue
95,1027,2025-01-04,26190,Track Maintenance
96,1079,2025-04-18,10541,Electrical Fault
97,1047,2025-01-24,5110,Engine Issue
98,1043,2025-03-25,15315,Signal Failure
99,1090,2025-03-06,27220,Electrical Fault
100,1065,2025-04-14,24013,Electrical Fault
101,1089,2025-06-28,17499,Brake Repair
102,1004,2025-06-20,18213,Electrical Fault
103,1018,2025-04-30,20073,Signal Failure
104,1064,2025-05-18,20203,Engine Issue
105,1049,2025-05-16,12104,Track Maintenance
106,1061,2025-04-15,27004,Engine Issue
107,1053,2025-06-27,12170,Electrical Fault
108,1039,2025-04-19,23975,Engine Issue
109,1038,2025-06-26,17699,Engine Issue
110,1099,2025-04-26,12301,Electrical Fault
111,1055,2025-05-28,29421,Track Maintenance
112,1053,2025-02-12,14704,Engine Issue
113,1018,2025-02-28,28514,Track Maintenance
114,1060,2025-05-21,16954,Brake Repair
115,1009,2025-04-16,14339,Engine Issue
116,1089,2025-06-17,8386,Track Maintenance
117,1044,2025-01-17,20146,Brake Repair
118,1044,2025-04-10,12141,Electrical Fault
119,1014,2025-03-28,14353,Track Maintenance
120,1043,2025-01-21,29212,Signal Failure
121,1060,2025-05-18,6648,Electrical Fault
122,1006,2025-01-16,16559,Track Maintenance
123,1081,2025-05-08,10395,Signal Failure
124,1092,2025-02-20,18894,Electrical Fault
125,1072,2025-06-15,8144,Signal Failure
126,1011,2025-02-08,13527,Signal Failure
127,1024,2025-01-29,9412,Brake Repair
