Route_ID,Route_Name,Distance_km,Transport_Type,City
1001,Route 1,10,Train,Hyderabad
1002,Route 2,19,Metro,Mumbai
1003,Route 3,13,Metro,Delhi
1004,Route 4,14,Bus,Chennai
1005,Route 5,50,Bus,Bangalore
1006,Route 6,42,Train,Chennai
1007,Route 7,14,Train,Mumbai
1008,Route 8,28,Metro,Delhi
1009,Route 9,28,Train,Chennai
1010,Route 10,28,Metro,Hyderabad
1011,Route 11,25,Train,Chennai
1012,Route 12,50,Bus,Mumbai
1013,Route 13,26,Train,Chennai
1014,Route 14,27,Train,Mumbai
1015,Route 15,14,Train,Mumbai
1016,Route 16,22,Bus,Hyderabad
1017,Route 17,34,Train,Mumbai
1018,Route 18,28,Metro,Chennai
1019,Route 19,37,Bus,Delhi
1020,Route 20,20,Train,Mumbai
1021,Route 21,45,Metro,Hyderabad
1022,Route 22,18,Train,Delhi
1023,Route 23,32,Metro,Mumbai
1024,Route 24,27,Bus,Hyderabad
1025,Route 25,29,Metro,Mumbai
1026,Route 26,28,Bus,Bangalore
1027,Route 27,49,Train,Delhi
1028,Route 28,38,Train,Delhi
1029,Route 29,37,Bus,Bangalore
1030,Route 30,30,Bus,Mumbai
1031,Route 31,14,Train,Bangalore
1032,Route 32,19,Bus,Delhi
1033,Route 33,41,Metro,Hyderabad
1034,Route 34,44,Metro,Chennai
1035,Route 35,50,Train,Delhi
1036,Route 36,38,Bus,Mumbai
1037,Route 37,42,Bus,Delhi
1038,Route 38,38,Train,Chennai
1039,Route 39,40,Bus,Mumbai
1040,Route 40,26,Bus,Bangalore
1041,Route 41,11,Bus,Bangalore
1042,Route 42,36,Train,Hyderabad
1043,Route 43,38,Bus,Delhi
1044,Route 44,33,Metro,Hyderabad
1045,Route 45,35,Train,Mumbai
1046,Route 46,33,Metro,Chennai
1047,Route 47,34,Train,Hyderabad
1048,Route 48,29,Train,Hyderabad
1049,Route 49,23,Bus,Chennai
1050,Route 50,38,Bus,Mumbai
1051,Route 51,41,Metro,Hyderabad
1052,Route 52,29,Bus,Bangalore
1053,Route 53,50,Metro,Hyderabad
1054,Route 54,36,Bus,Chennai
1055,Route 55,15,Train,Chennai
1056,Route 56,18,Train,Hyderabad
1057,Route 57,11,Bus,Delhi
1058,Route 58,40,Bus,Chennai
1059,Route 59,19,Bus,Mumbai
1060,Route 60,33,Bus,Hyderabad
1061,Route 61,33,Bus,Delhi
1062,Route 62,23,Bus,Hyderabad
1063,Route 63,50,Train,Hyderabad
1064,Route 64,17,Bus,Delhi
1065,Route 65,12,Metro,Mumbai
1066,Route 66,41,Metro,Delhi
1067,Route 67,41,Train,Hyderabad
1068,Route 68,24,Bus,Delhi
1069,Route 69,24,Bus,Chennai
1070,Route 70,18,Train,Delhi
1071,Route 71,42,Bus,Bangalore
1072,Route 72,26,Bus,Mumbai
1073,Route 73,32,Train,Hyderabad
1074,Route 74,29,Bus,Chennai
1075,Route 75,34,Metro,Hyderabad
1076,Route 76,44,Bus,Bangalore
1077,Route 77,34,Train,Mumbai
1078,Route 78,41,Metro,Delhi
1079,Route 79,48,Metro,Bangalore
1080,Route 80,40,Bus,Chennai
1081,Route 81,16,Metro,Mumbai
1082,Route 82,34,Train,Chennai
1083,Route 83,17,Bus,Hyderabad
1084,Route 84,46,Train,Hyderabad
1085,Route 85,39,Metro,Hyderabad
1086,Route 86,29,Train,Hyderabad
1087,Route 87,10,Bus,Hyderabad
1088,Route 88,32,Bus,Delhi
1089,Route 89,22,Train,Delhi
1090,Route 90,40,Bus,Hyderabad
1091,Route 91,10,Train,Delhi
1092,Route 92,36,Train,Delhi
1093,Route 93,25,Bus,Delhi
1094,Route 94,31,Train,Hyderabad
1095,Route 95,27,Train,Delhi
1096,Route 96,50,Metro,Bangalore
1097,Route 97,15,Metro,Mumbai
1098,Route 98,19,Bus,Bangalore
1099,Route 99,33,Bus,Delhi
1100,Route 100,15,Bus,Bangalore
