Trip_ID,Route_ID,Date,Capacity,Passenger_Count,Ticket_Revenue,Delay_Minutes
1,1059,2025-04-19,120,112,3024,0
2,1086,2025-03-11,80,70,1330,2
3,1068,2025-01-15,80,67,1139,31
4,1038,2025-02-26,100,94,1974,35
5,1080,2025-01-25,120,100,2300,45
6,1016,2025-01-22,60,36,720,12
7,1076,2025-02-10,120,55,1210,2
8,1053,2025-02-28,100,51,1428,8
9,1023,2025-06-08,120,74,1480,25
10,1080,2025-04-08,100,87,2436,38
11,1026,2025-02-20,50,34,510,4
12,1002,2025-01-22,150,75,1950,3
13,1057,2025-02-05,60,47,1034,28
14,1081,2025-03-30,50,27,621,25
15,1051,2025-05-31,80,79,1817,10
16,1062,2025-05-08,50,44,924,35
17,1036,2025-06-25,50,50,1000,39
18,1094,2025-06-06,150,133,3192,32
19,1061,2025-01-11,50,37,925,21
20,1021,2025-06-16,80,57,912,20
21,1018,2025-02-23,50,27,459,22
22,1080,2025-02-23,80,61,1708,9
23,1077,2025-01-20,120,49,931,43
24,1005,2025-04-16,60,42,756,6
25,1062,2025-03-04,50,36,828,35
26,1037,2025-04-21,40,36,684,32
27,1035,2025-03-07,80,65,975,10
28,1069,2025-01-22,50,38,722,33
29,1004,2025-04-18,150,60,1500,30
30,1026,2025-06-22,60,59,1180,41
31,1099,2025-03-23,50,36,1008,17
32,1094,2025-03-20,120,67,1608,16
33,1089,2025-03-11,80,46,1058,21
34,1016,2025-04-20,100,86,1892,3
35,1026,2025-06-08,60,27,675,34
36,1004,2025-03-09,80,78,1794,12
37,1084,2025-01-07,60,32,960,28
38,1034,2025-03-14,50,44,792,28
39,1060,2025-01-16,50,49,735,10
40,1097,2025-02-27,40,24,720,10
41,1046,2025-05-22,40,36,684,25
42,1026,2025-01-19,150,136,2856,16
43,1038,2025-05-17,80,59,1239,12
44,1001,2025-02-21,40,16,432,30
45,1066,2025-05-04,120,84,2352,14
46,1001,2025-03-23,40,38,646,6
47,1099,2025-03-23,120,74,1924,43
48,1056,2025-02-12,50,39,819,14
49,1020,2025-01-28,80,52,1196,18
50,1056,2025-06-02,80,78,1404,2
51,1092,2025-06-07,120,99,1782,17
52,1032,2025-01-27,100,100,2300,33
53,1054,2025-04-17,40,20,320,42
54,1033,2025-05-29,50,49,1176,10
55,1036,2025-03-11,150,103,1751,10
56,1004,2025-01-09,80,55,1045,29
57,1003,2025-06-24,80,44,836,14
58,1066,2025-02-12,150,102,2550,40
59,1069,2025-03-09,120,50,950,18
60,1056,2025-01-30,100,75,1350,26
61,1019,2025-05-23,120,109,2398,4
62,1044,2025-02-27,80,55,1430,40
63,1095,2025-06-28,100,87,2088,10
64,1092,2025-04-29,80,67,1206,2
65,1033,2025-02-06,150,87,2349,16
66,1063,2025-06-13,80,56,840,23
67,1081,2025-01-27,80,70,1050,9
68,1019,2025-03-20,80,51,1173,28
69,1095,2025-06-05,120,56,1400,45
70,1083,2025-01-29,60,47,1128,40
71,1089,2025-05-05,120,117,2925,25
72,1099,2025-03-31,40,26,780,25
73,1086,2025-03-26,80,54,810,1
74,1005,2025-05-03,120,112,2128,26
75,1020,2025-06-05,40,20,460,0
76,1017,2025-04-12,100,45,810,19
77,1054,2025-05-25,50,41,820,16
78,1008,2025-04-13,40,22,374,26
79,1091,2025-05-04,40,33,759,23
80,1069,2025-03-28,150,111,3108,9
81,1001,2025-01-27,60,25,700,11
82,1076,2025-04-02,100,93,2139,8
83,1055,2025-03-11,50,34,680,8
84,1100,2025-06-20,60,29,783,5
85,1011,2025-02-20,150,149,4023,39
86,1011,2025-01-03,40,19,513,1
87,1012,2025-04-06,50,27,621,44
88,1093,2025-06-02,80,67,1474,21
89,1092,2025-06-19,120,48,816,42
90,1019,2025-05-07,40,26,598,19
91,1022,2025-04-02,60,37,1110,0
92,1019,2025-04-04,50,45,990,15
93,1074,2025-04-16,60,31,775,15
94,1024,2025-04-18,150,129,2838,37
95,1093,2025-01-02,60,51,1377,18
96,1014,2025-03-07,100,98,2940,4
97,1082,2025-05-26,150,104,1768,34
98,1058,2025-02-06,100,74,1702,33
99,1013,2025-05-08,40,17,459,2
100,1025,2025-04-04,50,39,1014,13
101,1085,2025-01-19,150,107,1712,15
102,1078,2025-03-01,150,129,2967,2
103,1023,2025-04-27,40,40,1000,14
104,1015,2025-04-29,120,56,1288,13
105,1008,2025-03-25,40,22,462,15
106,1077,2025-04-03,80,76,1368,42
107,1072,2025-02-21,150,122,2806,24
108,1044,2025-04-21,100,99,1683,44
109,1022,2025-03-17,50,45,1350,25
110,1010,2025-03-09,120,102,2652,25
111,1072,2025-03-21,40,19,304,36
112,1010,2025-01-11,60,48,1392,18
113,1012,2025-04-09,40,29,783,45
114,1078,2025-02-06,150,75,1200,36
115,1089,2025-02-18,80,69,1242,9
116,1053,2025-02-22,40,31,620,40
117,1031,2025-04-24,60,49,980,36
118,1041,2025-01-22,50,32,928,43
119,1062,2025-02-14,60,30,870,5
120,1038,2025-06-13,60,24,576,8
121,1096,2025-01-23,100,40,1120,7
122,1037,2025-01-25,60,25,500,22
123,1075,2025-02-13,80,58,870,15
124,1003,2025-06-12,120,55,1045,28
125,1011,2025-05-14,100,97,2134,39
126,1038,2025-02-08,80,50,1400,2
127,1011,2025-05-12,150,137,2877,18
128,1047,2025-03-11,120,74,1184,22
129,1037,2025-04-30,120,58,1566,41
130,1054,2025-03-18,150,111,2997,16
131,1028,2025-01-21,60,24,600,6
132,1092,2025-04-15,80,67,1675,0
133,1041,2025-04-18,120,109,2398,37
134,1089,2025-01-16,80,58,1624,30
135,1051,2025-05-27,60,53,1484,31
136,1020,2025-02-08,50,22,374,20
137,1083,2025-02-18,60,50,1000,2
138,1092,2025-05-28,150,132,2640,35
139,1065,2025-01-26,50,32,672,28
140,1088,2025-05-08,100,44,1012,0
141,1074,2025-06-10,60,55,1155,17
142,1092,2025-05-13,80,41,1148,26
143,1064,2025-03-26,100,89,1691,9
144,1096,2025-03-16,150,114,3192,29
145,1048,2025-06-03,120,117,2925,23
146,1025,2025-03-13,80,54,1404,36
147,1021,2025-02-10,40,19,380,17
148,1039,2025-03-18,50,30,900,44
149,1097,2025-04-05,40,31,837,28
150,1021,2025-01-17,150,69,1518,1
151,1063,2025-04-23,150,62,1364,17
152,1059,2025-05-30,150,142,4260,38
153,1053,2025-03-23,80,64,1024,35
154,1018,2025-04-29,100,73,1898,28
155,1071,2025-01-31,40,27,702,6
156,1005,2025-01-28,100,96,2208,18
157,1009,2025-01-09,50,47,1175,0
158,1048,2025-01-03,80,69,1173,35
159,1078,2025-03-26,50,43,688,14
160,1016,2025-03-11,120,111,2553,25
161,1007,2025-05-28,50,39,897,3
162,1099,2025-06-21,80,49,1470,15
163,1033,2025-02-08,150,120,2640,34
164,1079,2025-02-17,50,47,799,21
165,1046,2025-01-25,80,58,1682,22
166,1023,2025-03-11,60,51,1479,7
167,1011,2025-06-08,100,74,1480,14
168,1025,2025-05-25,100,92,2116,27
169,1057,2025-02-24,80,79,2133,11
170,1046,2025-04-25,60,57,1197,19
171,1047,2025-06-01,100,97,1552,41
172,1059,2025-04-29,60,60,1200,43
173,1097,2025-01-05,80,37,703,12
174,1097,2025-04-15,100,64,1920,17
175,1037,2025-02-04,100,45,810,39
176,1018,2025-06-08,60,42,630,24
177,1075,2025-06-25,120,85,1275,9
